,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f12,kb1,ku1,kb2,ku2,bcoop,ucoop,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA12_min,DNA12_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1793,0.02755,0.05814,0.1117,0.03651,0.2752,218.4,1.288,19.95,1.575,0.02663,46.25,43.08,0.00642,0.01846,13.4,0.06151,1,0,0,489.7,0.4884,0.5386,0.04543,0.06526,0.014759999999999999,0.02167,0.3909,0.4368,17.0,21.19,7.992999999999999,9.838,0.0805,0.1219,False,0.0
1794,0.3708,0.9611,0.01923,0.001972,0.07582,998.6,1.2990000000000002,62.27,0.4587,0.06701,0.007840999999999999,0.1125,0.001348,0.01064,0.2972,0.05407000000000001,1,0,0,,,,,,,,,,,,,,,,False,1.0
1795,1.547,0.2517,3.9410000000000003,0.0006186,0.9404,449.7,0.8524,88.95,9.396,0.001168,7.06,17.91,0.002164,0.04362,1.15,0.06672,1,0,0,,,,,,,,,,,,,,,,False,1.0
1796,16.51,0.2155,4.532,0.0007469999999999999,0.6038,1.003,0.03864,0.08076,51.47,0.002263,0.003421,0.012980000000000002,8.177,75.74,4.82,0.08317999999999999,1,0,0,228.8,0.1112,0.49,0.005917,0.106,0.02528,0.3239,0.3106,0.809,0.0050880000000000005,0.048960000000000004,0.5175,2.7110000000000003,0.1678,4.405,False,1.0
1797,0.016280000000000003,0.7689,0.6893,0.002151,0.061860000000000005,6.685,1.682,0.18100000000000002,99.41,0.061989999999999996,0.03782,0.02071,12.98,0.257,9.738999999999999,0.1417,1,0,0,,,,,,,,,,,,,,,,False,0.0
1798,83.43,0.33299999999999996,2.024,0.001707,0.3894,6.682,0.01853,18.17,0.02926,0.060360000000000004,0.6686,7.943,0.002275,0.011859999999999999,0.1442,2.52,1,0,0,271.1,0.405,0.7616,0.03266,0.2412,0.1756,0.3872,0.0006067000000000001,0.011359999999999999,0.01202,0.04423,3.042,10.78,0.5394,6.769,False,1.0
1799,8.552,0.3127,2.805,0.06592,0.1534,2.121,0.01005,51.22,0.0037560000000000002,0.002502,4.155,0.425,0.2315,0.01828,0.858,0.05309,1,0,0,329.5,0.3248,0.6908,0.035660000000000004,0.1978,0.0614,0.168,0.147,0.4637,0.008401,0.03767,0.258,0.9296,0.0065,0.05632,False,0.0
1800,0.3016,0.3958,2.401,0.04308,0.2993,29.0,0.3949,77.32,0.1044,0.3877,18.75,1.524,0.1043,0.07842,10.99,0.1498,1,0,0,,,,,,,,,,,,,,,,False,0.0
1801,0.1936,0.9471,0.6014,0.003041,0.7120000000000001,4.971,0.3962,1.29,86.62,0.07338,0.058120000000000005,0.03171,0.5984,0.2407,1.8719999999999999,0.05391,1,0,0,136.9,0.06898,0.5374,0.011059999999999999,0.264,0.0119,0.1514,0.3217,0.804,0.9777,14.78,0.225,2.738,0.009581000000000001,1.063,False,0.0
1802,0.016059999999999998,0.3255,0.20800000000000002,0.07912000000000001,0.3405,234.6,0.9375,41.03,0.2914,0.1163,37.64,0.23,3.4010000000000002,0.018019999999999998,0.9869,0.1091,1,0,0,232.1,0.1537,0.6827,0.0276,0.2998,0.050539999999999995,0.2392,0.1167,0.609,7.831,55.2,0.4317,2.545,0.0002983,0.009319,False,0.0
